# RADAR TRACKING LOG
# Classification: SECRET
# System: AN/SPY-7
# Date: 2024-12-15
# Format: Timestamp, Azimuth, Range, Velocity, Signal_Strength
#
# Track data from Grid Sector Echo-5 surveillance mission
2024-12-15T06:15:00Z, 045, 125.5, 250, -85
2024-12-15T06:15:05Z, 046, 126.2, 252, -84
2024-12-15T06:15:10Z, 047, 127.0, 251, -83
2024-12-15T06:15:15Z, 048, 127.8, 250, -85
2024-12-15T06:16:00Z, 090, 200.3, 180, -90
2024-12-15T06:16:05Z, 091, 201.1, 182, -89
2024-12-15T06:16:10Z, 092, 202.0, 181, -88
2024-12-15T06:17:00Z, 135, 75.2, 320, -75
2024-12-15T06:17:05Z, 136, 76.8, 322, -74
2024-12-15T06:17:10Z, 137, 78.5, 321, -76
2024-12-15T06:18:00Z, 180, 300.0, 150, -95
2024-12-15T06:18:05Z, 181, 300.5, 151, -94
2024-12-15T06:18:10Z, 182, 301.0, 150, -95
2024-12-15T06:19:00Z, 225, 150.0, 280, -82
2024-12-15T06:19:05Z, 226, 151.2, 281, -81
2024-12-15T06:19:10Z, 227, 152.5, 282, -80
2024-12-15T06:20:00Z, 270, 400.0, 100, -98
2024-12-15T06:20:05Z, 270, 399.8, 101, -97
2024-12-15T06:20:10Z, 270, 399.5, 100, -98
2024-12-15T06:21:00Z, 315, 50.0, 450, -70
2024-12-15T06:21:05Z, 316, 52.5, 452, -69
2024-12-15T06:21:10Z, 317, 55.0, 451, -71
